Subject,Condition,Speed,Target,Balance,n_samples,Comp1,Comp2,Comp3,Comp4,Comp5
BMH01,s0a0b0,0,0,0,1,-112.20494539218119,-73.94122876110855,-32.755140334027146,-40.96431709423482,14.944843225820646
BMH01,s0a0b1,0,0,1,1,-171.73016930813995,-114.8247136823547,-56.32716308525502,11.55865152298196,8.316368631405723
BMH01,s0a0b2,0,0,2,1,-154.3036286995053,-82.89176715024729,-48.6634510047887,-13.276364018797743,24.49109272687091
BMH01,s0a1b0,0,1,0,1,30.1074939223323,49.96269155562682,1.7347725359088397,-22.609881752325563,0.2992459558534529
BMH01,s0a1b1,0,1,1,1,-13.321704573212683,43.83602198683138,61.63043564705621,-25.525479184788704,16.236350047735364
BMH01,s0a1b2,0,1,2,1,51.342471188344476,-48.99883352373712,79.87655136684975,-26.723033972959218,17.322529072004016
BMH01,s0a2b0,0,2,0,1,-99.31246215460524,-34.695146132610034,12.5672180954979,34.87373168133058,-31.969438551019312
BMH01,s0a2b1,0,2,1,1,103.27944927159065,56.049704623388166,-63.28907574646529,7.885720857812218,12.317953343422493
BMH01,s0a2b2,0,2,2,1,217.61131789914378,-293.63248257071194,16.793706541067955,-11.20186564303312,-22.827717595269476
BMH01,s1a0b0,1,0,0,1,-101.94616656895462,15.153772813469255,-12.98684745536453,-25.800275158762805,-5.763474903598304
BMH01,s1a0b1,1,0,1,1,-98.52849816971872,2.409120512388839,0.8351753597194566,-1.966890818517844,1.3213882746703665
BMH01,s1a0b2,1,0,2,1,-118.43217552452458,-46.6090068432939,-10.659168409061436,16.748950463416023,9.511084348082868
BMH01,s1a1b0,1,1,0,1,15.674895228124315,53.262255632874286,12.083494582389964,-23.55461876509482,-1.6936962407648817
BMH01,s1a1b1,1,1,1,1,49.64195873466324,25.47059797094646,28.188201640523648,-23.83942697127912,-0.4230228562576518
BMH01,s1a1b2,1,1,2,1,10.762439662376568,22.209744037206086,93.2039624676905,7.792780136013108,30.622331935599362
BMH01,s1a2b0,1,2,0,1,107.26864770050541,49.53406789002467,-80.97829383710864,-11.527438900806914,6.355961050497357
BMH01,s1a2b1,1,2,1,1,104.022843741894,64.98067868754731,-68.20757661603797,15.20111575039614,31.51964756565598
BMH01,s1a2b2,1,2,2,1,141.44455414036824,-22.581034628156075,17.34856795072066,40.1884635357419,16.367440454104067
BMH01,s2a0b0,2,0,0,1,-60.20269827498459,58.950614347288294,4.338700596714347,0.9361597839572164,-32.1695304268813
BMH01,s2a0b1,2,0,1,1,-76.67837193348741,61.16963643511947,33.993980487982924,-1.6965266235219498,-27.90652254560102
BMH01,s2a0b2,2,0,2,1,-93.84888959235552,-21.66076618999945,24.565395929383786,59.78441694208625,-7.671915266940546
BMH01,s2a1b0,2,1,0,1,14.954161251659558,55.44606540731714,4.620469095597069,-30.72909650473866,-22.661391903239068
BMH01,s2a1b1,2,1,1,1,-3.744180869838719,55.64970323142965,32.08460144845073,-5.800546013730457,-5.260810339098167
BMH01,s2a1b2,2,1,2,1,8.253616121914622,56.6061426175106,31.0414546102361,39.06468477094842,8.879339253118367
BMH01,s2a2b0,2,2,0,1,73.81223469975886,53.38890276827084,-50.15846726301111,4.2706290981231305,-22.20673209982143
BMH01,s2a2b1,2,2,1,1,99.73169407966856,20.212908619656424,-34.1937460385619,0.9032927047779572,-30.239027202547163
BMH01,s2a2b2,2,2,2,1,76.34611341916398,-4.457649654677252,3.3122414338912995,26.007164175006118,12.287704046198813
BMH02,s0a0b0,0,0,0,1,-79.82550925179912,-143.04544500108236,2.7565821907183934,-1.0835072696037087,-2.3459559733951876
BMH02,s0a0b1,0,0,1,1,-36.38839631826333,-51.47777342557388,1.589973492979964,8.05543976910839,2.2844032409390485
BMH02,s0a0b2,0,0,2,1,-61.734980581273376,-115.98948408180463,25.022952252044448,-0.7401899762774857,-38.55755883357758
BMH02,s0a1b0,0,1,0,1,-16.028976133192614,50.73596166338732,-17.052297534690908,-7.012475600903056,-9.689643436170197
BMH02,s0a1b1,0,1,1,1,50.439093071882475,77.20950627058124,40.12623176179716,-22.70951154486999,13.652750771862257
BMH02,s0a1b2,0,1,2,1,122.46030962686902,39.87542586518985,-3.709741360977607,26.499024807975626,-2.8670818494294297
BMH02,s0a2b0,0,2,0,1,-16.717895459805042,67.77985855024154,-34.45773108971706,-19.899306511834155,-17.7019252005949
BMH02,s0a2b1,0,2,1,1,35.26433618259716,93.37590208296382,26.073026527645663,-15.610093105794203,4.571482026794331
BMH02,s0a2b2,0,2,2,1,476.34216769738174,-163.36228646450886,-26.246336372188175,-10.880346018025916,8.135215711775961
BMH02,s1a0b0,1,0,0,1,-96.94797415719117,-69.63673666250266,-19.5022002602083,11.441493101926898,-8.348574128662367
BMH02,s1a0b1,1,0,1,1,-102.03764627153207,-92.0684548111243,20.06160041762787,-0.8369091282424578,-2.0306264341653995
BMH02,s1a0b2,1,0,2,1,-10.667364811631126,-178.99887037449108,39.38065066872932,-13.841800471317681,-3.3857389694226625
BMH02,s1a1b0,1,1,0,1,0.8878710749239663,51.10504536293043,-21.144639555635216,-6.94453293321121,5.243219816437964
BMH02,s1a1b1,1,1,1,1,28.2248438213199,94.87013526726342,23.50868393900471,-17.357557187477425,-3.4900274226655115
BMH02,s1a1b2,1,1,2,1,66.35613846629548,60.23595189176835,17.03230124294763,35.9654966200859,-18.16872625986236
BMH02,s1a2b0,1,2,0,1,-26.317157202235673,36.28887083819137,-13.775411330285726,-21.675179827372425,-5.8971716114444
BMH02,s1a2b1,1,2,1,1,66.27645561083617,74.7035263079525,33.32776055470389,10.330701663376795,17.93859421786967
BMH02,s1a2b2,1,2,2,1,60.93199904140898,82.60689083479306,12.210192391645641,10.598498684559642,1.673846387122561
BMH02,s2a0b0,2,0,0,1,-104.41594869009425,-57.380116451429316,-33.49147572300505,4.055699922475649,16.9448293551903
BMH02,s2a0b1,2,0,1,1,-103.47007992607388,-20.860319585744033,-18.426785472770668,20.111713537856513,30.381414122009126
BMH02,s2a0b2,2,0,2,1,-89.31916748281309,-58.260926402370806,17.036302160770315,24.775694519901265,21.63276063673451
BMH02,s2a1b0,2,1,0,1,-81.1703911520718,-7.53609805596895,-15.46764101704049,-14.869794352322787,16.611998508835566
BMH02,s2a1b1,2,1,1,1,-30.65354196538097,54.581400285330595,-15.330516070211681,-6.214151348083339,-10.955621517107822
BMH02,s2a1b2,2,1,2,1,26.383578832317436,63.54996155661894,-12.307215826673035,14.452939222481412,-7.055100953941688
BMH02,s2a2b0,2,2,0,1,-73.42154511690131,12.541491195021578,-26.94992149657518,-19.962043741322667,-3.0892667644467644
BMH02,s2a2b1,2,2,1,1,-37.819625014296896,41.040141836229935,10.957554744478728,-20.533301561109717,7.1479601828904515
BMH02,s2a2b2,2,2,2,1,33.369406108724725,58.116441508133995,-11.22189923511403,33.88399872801922,-12.635455623576979
BMH06,s0a0b0,0,0,0,1,81.00884475100345,-66.88048303596555,-16.867719200521606,0.7982991110555062,5.872489432174087
BMH06,s0a0b1,0,0,1,1,84.41460826296881,-31.910601062923103,-19.433355329069176,-12.74115220015683,9.023935195462728
BMH06,s0a0b2,0,0,2,1,88.53471641596578,-44.730660737669545,22.409200230170992,-15.409041561529426,-11.195534642746766
BMH06,s0a1b0,0,1,0,1,4.175456042204803,7.316894811803111,-7.027628156332782,16.18737677211513,-1.2610378961935484
BMH06,s0a1b1,0,1,1,1,51.83992747912284,20.043830068927452,-34.07296959200501,32.41607231985703,12.025624205430184
BMH06,s0a1b2,0,1,2,1,18.703450555157396,-28.21764032839442,20.778326623666743,23.404556796465446,15.051900561581473
BMH06,s0a2b0,0,2,0,1,-120.26637962802054,-23.689638806525725,3.8943936695538093,13.358029142829624,0.9977979914036317
BMH06,s0a2b1,0,2,1,1,-107.78587995316093,-9.114557003004986,30.075235665764584,1.9240382940776772,-0.41603874866005
BMH06,s0a2b2,0,2,2,1,-61.19341743722743,-8.45805407807872,45.302930476846406,10.818715080428085,9.213245892649153
BMH06,s1a0b0,1,0,0,1,71.74236892323012,1.7648493981019586,6.933105101063808,-27.76309598726231,10.572880004113523
BMH06,s1a0b1,1,0,1,1,61.74493236748795,13.908670452825131,-8.944406950484929,-9.94572359373813,0.7925174540804936
BMH06,s1a0b2,1,0,2,1,62.42420608323055,-5.888053472002063,11.75751492583217,-17.178439329652846,0.862749268152529
BMH06,s1a1b0,1,1,0,1,18.910408703481647,12.13194778594192,-11.76509089218187,19.95983586100352,-13.279720681733426
BMH06,s1a1b1,1,1,1,1,-53.005870807723916,16.84572270269347,-17.206919511719907,2.5065447469122843,6.182432327773275
BMH06,s1a1b2,1,1,2,1,53.68139608195225,-7.073380067744028,31.676498751453867,3.2586320087642338,-15.086916451599915
BMH06,s1a2b0,1,2,0,1,-61.10428965946736,-14.957707849028242,-28.192472980823105,2.5968276033263566,-16.293045670963064
BMH06,s1a2b1,1,2,1,1,-87.77335176451756,-7.395775907120224,-26.274654369942898,-23.273901576871854,15.462801861542317
